id,employee_id,project_id,time_spent_h,description,datetime
4,1,1,6,,2023-05-04 10:00:00+00
5,2,1,9.25,,2023-05-05 10:00:00+00
6,1,2,8.75,,2023-05-06 10:00:00+00
7,1,1,10,,2023-05-07 10:00:00+00
8,2,1,5.5,,2023-05-08 10:00:00+00
9,1,2,2,,2023-05-09 10:00:00+00
10,1,1,7.25,,2023-05-10 10:00:00+00
11,2,1,5.25,,2023-05-11 10:00:00+00
12,1,2,9.25,,2023-05-12 10:00:00+00
13,1,1,0.5,,2023-05-13 10:00:00+00
14,2,1,8,,2023-05-14 10:00:00+00
15,1,2,1,,2023-05-15 10:00:00+00
16,1,1,5.5,,2023-05-16 10:00:00+00
17,2,1,2,,2023-05-17 10:00:00+00
18,1,2,9.25,,2023-05-18 10:00:00+00
19,1,1,7.5,,2023-05-19 10:00:00+00
20,2,1,0.5,,2023-05-20 10:00:00+00
21,1,2,2.5,,2023-05-21 10:00:00+00
22,1,1,4.25,,2023-05-22 10:00:00+00
23,2,1,4.75,,2023-05-23 10:00:00+00
24,1,2,2.5,,2023-05-24 10:00:00+00
25,1,1,2.5,,2023-05-25 10:00:00+00
26,2,1,2.25,,2023-05-26 10:00:00+00
27,1,2,7.5,,2023-05-27 10:00:00+00
28,1,1,1.75,,2023-05-28 10:00:00+00
29,2,1,5.25,,2023-05-29 10:00:00+00
30,1,2,5.25,,2023-05-30 10:00:00+00
